id,year,set,duration,cluster,title
3442,1994,1,296908,0,Sample in a Jar
3447,1994,1,192627,0,Axilla (Part II)
3448,1994,1,505417,0,Scent of a Mule
3365,1994,1,593528,0,Maze
3366,1994,1,364278,0,If I Could
3370,1994,1,497162,0,Scent of a Mule
3373,1994,1,420258,0,AC/DC Bag
3376,1994,2,364199,0,Weigh
3377,1994,2,195840,0,Axilla (Part II)
3379,1994,2,355161,0,Rift
3381,1994,E,413127,0,Chalk Dust Torture
3422,1994,1,406596,0,Chalk Dust Torture
3424,1994,1,574224,0,Foam
3434,1994,2,385620,0,If I Could
3440,1994,E,245734,0,Highway to Hell
3451,1994,1,440973,0,Chalk Dust Torture
3452,1994,2,382981,0,Rift
3458,1994,2,413701,0,Julius
3460,1994,2,818521,0,The Squirming Coil
3462,1994,E,295445,0,Tweezer Reprise
3471,1994,1,850181,0,Divided Sky
3472,1994,1,373499,0,Sample in a Jar
3678,1994,1,545463,0,Foam
13064,1995,2,219638,0,Sparkle
28040,2013,1,261773,0,Cavern
28041,2013,1,559543,0,Runaway Jim
28042,2013,1,642743,0,Sand
28043,2013,1,408895,0,Halfway to the Moon
28044,2013,1,354638,0,Halley's Comet
28045,2013,1,285962,0,Tube
28046,2013,1,688013,0,Possum
28047,2013,1,321463,0,When the Circus Comes
28048,2013,1,336065,0,Sugar Shack
28049,2013,1,513646,0,Jesus Just Left Chicago
28050,2013,1,711340,0,David Bowie
28052,2013,2,628558,0,Gotta Jibboo
3497,1994,2,411402,0,Julius
3535,1994,2,392202,0,Chalk Dust Torture
3614,1994,1,396042,0,Julius
3615,1994,2,699376,0,Mike's Song
3628,1994,E,342883,0,Golgi Apparatus
3656,1994,1,354403,0,Rift
3657,1994,1,404506,0,Julius
3679,1994,1,306782,0,Glide
3705,1994,1,299598,0,Sample in a Jar
3658,1994,1,325773,0,Fee
3659,1994,1,718681,0,Maze
3680,1994,1,677146,0,Split Open and Melt
3681,1994,1,366420,0,If I Could
3683,1994,1,581042,0,Bathtub Gin
3684,1994,1,425509,0,Scent of a Mule
3685,1994,1,298919,0,Cavern
