id,Song,Year,Set,Duration,Cluster
3859,Tweezer,1994-06-29,2,730175,0
3939,The Old Home Place,1994-07-03,1,163056,0
3860,It's Ice,1994-06-29,2,503719,0
3865,Ya Mar,1994-06-29,E,539690,0
3892,NICU,1994-07-01,1,319373,0
3934,Poor Heart,1994-07-03,1,144405,0
3941,Axilla (Part II),1994-07-03,1,255896,0
3942,David Bowie,1994-07-03,1,886256,0
3949,Julius,1994-07-03,2,467435,0
3844,Tube,1994-06-26,E,191634,0
958,Mound,1992-04-03,2,364042,0
959,You Enjoy Myself,1992-04-03,2,1030426,0
3953,Fire,1994-07-03,E,291265,0
3961,Esther,1994-07-05,1,583262,0
519,Silent in the Morning,1992-01-14,1,279615,0
961,Harry Hood,1992-04-03,2,681064,0
4057,Ya Mar,1994-07-10,2,506201,0
20042,Halley's Comet,1999-12-07,1,1676591,0
4031,Silent in the Morning,1994-07-09,1,305084,0
31927,Loving Cup,2017-07-15,E,427180,0
4021,Nellie Kane,1994-07-08,E,181055,0
4041,Harry Hood,1994-07-09,2,888503,0
4117,Foam,1994-07-15,1,510276,0
962,Suzy Greenberg,1992-04-03,2,336953,0
6693,Stash,1993-04-09,1,675971,0
4125,It's Ice,1994-07-15,2,541048,0
4132,Runaway Jim,1994-07-15,2,473051,0
4180,Bathtub Gin,1994-12-28,1,450482,0
4184,Dog Faced Boy,1994-12-28,1,120973,0
4187,Suzy Greenberg,1994-12-28,2,384340,0
4199,If I Could,1994-12-29,1,435749,0
70,Camel Walk,1986-04-15,1,321881,0
76,Skin It Back,1986-10-15,1,408189,0
4144,Sparkle,1994-07-16,1,223922,0
4183,Reba,1994-12-28,1,783229,0
4185,It's Ice,1994-12-28,1,545358,0
4186,Run Like an Antelope,1994-12-28,1,737254,0
4188,NICU,1994-12-28,2,320261,0
4192,Contact,1994-12-28,2,365793,0
4195,The Squirming Coil,1994-12-28,2,710165,0
4216,NICU,1994-12-31,1,372245,0
4219,Mound,1994-12-31,1,353228,0
4536,Llama,1994-10-25,1,266136,0
29752,Meatstick,2014-08-30,2,349309,0
4201,The Horse,1994-12-29,1,91847,0
4203,Uncle Pen,1994-12-29,1,251794,0
4205,Possum,1994-12-29,1,713064,0
4209,The Lizards,1994-12-29,2,633731,0
4264,Poor Heart,1994-10-07,1,137169,0
4266,Guelah Papyrus,1994-10-07,1,370599,0
4267,Stash,1994-10-07,1,782420,0
4311,The Squirming Coil,1994-10-09,1,705776,0
11391,Mike's Song,1989-06-30,2,405786,0
4206,Guyute,1994-12-29,2,649221,0
4208,Halley's Comet,1994-12-29,2,313548,0
4225,Bouncing Around the Room,1994-12-31,2,222015,0
4277,Lifeboy,1994-10-07,2,480261,0
4305,Runaway Jim,1994-10-09,1,534100,0
4319,Possum,1994-10-09,2,624222,0
4224,Maze,1994-12-31,2,1000072,0
4232,My Sweet One,1994-12-31,3,77375,0
4306,Foam,1994-10-09,1,569417,0
4312,David Bowie,1994-10-09,2,826671,0
28720,The Lizards,1994-04-13,1,616359,0
4165,Narration,1994-06-26,1,48274,0
