id,year,set,duration,cluster
3326,1994,1,361587,0
3327,1994,1,370860,0
3328,1994,1,530756,0
3331,1994,1,622994,0
3333,1994,2,513358,0
3334,1994,2,325355,0
3337,1994,2,240248,0
3338,1994,2,150648,0
3341,1994,2,528300,0
3363,1994,E,285884,0
3372,1994,1,91455,0
3442,1994,1,296908,0
3447,1994,1,192627,0
3448,1994,1,505417,0
3365,1994,1,593528,0
3366,1994,1,364278,0
3370,1994,1,497162,0
3373,1994,1,420258,0
3376,1994,2,364199,0
3377,1994,2,195840,0
3379,1994,2,355161,0
3381,1994,E,413127,0
3422,1994,1,406596,0
3424,1994,1,574224,0
3434,1994,2,385620,0
3440,1994,E,245734,0
3451,1994,1,440973,0
3452,1994,2,382981,0
3458,1994,2,413701,0
3460,1994,2,818521,0
3462,1994,E,295445,0
3471,1994,1,850181,0
3472,1994,1,373499,0
3678,1994,1,545463,0
13064,1995,2,219638,0
28040,2013,1,261773,0
28041,2013,1,559543,0
28042,2013,1,642743,0
28043,2013,1,408895,0
28044,2013,1,354638,0
28045,2013,1,285962,0
28046,2013,1,688013,0
28047,2013,1,321463,0
28048,2013,1,336065,0
28049,2013,1,513646,0
28050,2013,1,711340,0
28052,2013,2,628558,0
3497,1994,2,411402,0
3535,1994,2,392202,0
3614,1994,1,396042,0
3615,1994,2,699376,0
3628,1994,E,342883,0
3656,1994,1,354403,0
3657,1994,1,404506,0
3679,1994,1,306782,0
3705,1994,1,299598,0
3658,1994,1,325773,0
3659,1994,1,718681,0
3680,1994,1,677146,0
3681,1994,1,366420,0
3683,1994,1,581042,0
3684,1994,1,425509,0
3685,1994,1,298919,0
3699,1994,2,407536,0
3708,1994,2,268095,0
3709,1994,2,141427,0
3720,1994,2,417724,0
3721,1994,2,226978,0
3723,1994,2,358400,0
3791,1994,2,389016,0
3821,1994,1,234266,0
3824,1994,1,254955,0
3828,1994,1,227709,0
3830,1994,1,785894,0
967,1992,1,399334,0
3772,1994,E,200359,0
3774,1994,1,358975,0
3775,1994,1,494942,0
3776,1994,1,321672,0
3778,1994,1,216633,0
3783,1994,1,304875,0
3787,1994,2,374909,0
3792,1994,2,149316,0
3797,1994,E,192627,0
3825,1994,1,353724,0
3832,1994,2,565943,0
3836,1994,2,286903,0
3838,1994,2,405342,0
3844,1994,E,191634,0
3845,1994,E,264934,0
3875,1994,1,288731,0
3886,1994,2,528901,0
3891,1994,1,295654,0
3896,1994,1,405786,0
3897,1994,1,441313,0
3898,1994,1,398550,0
3900,1994,2,401946,0
3902,1994,2,482299,0
3911,1994,1,272039,0
3913,1994,1,359732,0
3918,1994,1,227788,0
3919,1994,1,185339,0
3929,1994,2,288549,0
3935,1994,1,433032,0
28054,2013,2,864131,0
3895,1994,1,537234,0
3899,1994,2,764264,0
3904,1994,2,187611,0
3908,1994,2,798224,0
3909,1994,2,340872,0
3910,1994,E,180558,0
3921,1994,2,381283,0
3922,1994,2,263863,0
3928,1994,2,635664,0
3932,1994,E,371200,0
3954,1994,1,358818,0
3959,1994,1,237740,0
3962,1994,1,589192,0
3994,1994,2,300696,0
4003,1994,1,243017,0
4007,1994,1,227344,0
4023,1994,1,470622,0
4024,1994,1,582191,0
4026,1994,1,647837,0
4028,1994,1,458841,0
4029,1994,1,427259,0
4033,1994,2,280111,0
4035,1994,2,825887,0
4036,1994,2,141531,0
4050,1994,1,401110,0
4052,1994,1,467200,0
4053,1994,1,274730,0
4055,1994,2,839602,0
4056,1994,2,277891,0
4057,1994,2,506201,0
4061,1994,2,223687,0
4062,1994,2,611004,0
4064,1994,E,264255,0
4065,1994,E,209659,0
4068,1994,1,299207,0
4069,1994,1,597368,0
28055,2013,2,404663,0
28056,2013,2,358922,0
30781,2016,1,388153,0
4044,1994,E,191373,0
4063,1994,2,502805,0
4071,1994,1,525087,0
4077,1994,2,852454,0
4087,1994,2,385750,0
4088,1994,E,118962,0
4089,1994,E,210181,0
4108,1994,2,230400,0
4189,1994,2,518635,0
4196,1994,E,336640,0
4212,1994,2,512993,0
4244,1994,1,403122,0
929,1992,1,233300,0
30783,2016,1,456176,0
4210,1994,2,63164,0
4242,1994,1,279510,0
4257,1994,2,74919,0
4270,1994,2,673672,0
4275,1994,2,513959,0
4282,1994,1,383739,0
4283,1994,1,214727,0
4291,1994,2,296046,0
4292,1994,2,287843,0
4293,1994,2,358687,0
4294,1994,2,442906,0
4295,1994,2,330893,0
4297,1994,2,188682,0
4302,1994,2,561528,0
4304,1994,E,175464,0
4368,1994,1,434887,0
1702,1992,1,417855,0
4299,1994,2,873639,0
4301,1994,2,866325,0
4303,1994,E,460931,0
4387,1994,1,152503,0
4388,1994,1,294766,0
4444,1994,2,498965,0
4446,1994,2,154018,0
4455,1994,1,348578,0
4472,1994,1,368953,0
4494,1994,E,308924,0
5166,1994,1,377365,0
594,1992,1,521744,0
657,1992,1,143804,0
10692,1991,1,220787,0
28058,2013,2,427207,0
28059,2013,2,610351,0
4408,1994,2,211827,0
4449,1994,2,286981,0
4460,1994,1,474122,0
4462,1994,1,267886,0
4464,1994,2,748095,0
4470,1994,2,339304,0
4471,1994,E,314540,0
4474,1994,1,589113,0
4482,1994,2,330344,0
4568,1994,2,230583,0
4577,1994,1,341029,0
4579,1994,1,583915,0
4588,1994,2,441025,0
4593,1994,2,520281,0
4599,1994,1,254955,0
4600,1994,1,361404,0
4604,1994,1,229721,0
4606,1994,1,333531,0
4612,1994,2,349127,0
4619,1994,E,232594,0
4621,1994,1,221074,0
4644,1994,1,225567,0
4652,1994,1,303569,0
4656,1994,2,164415,0
30007,1994,1,383948,0
4648,1994,1,470936,0
4674,1994,2,175673,0
4675,1994,2,264072,0
4677,1994,2,323004,0
4679,1994,2,162011,0
4680,1994,2,281469,0
4683,1994,3,221806,0
4685,1994,3,338286,0
4697,1994,1,521691,0
4699,1994,1,414772,0
4704,1994,1,402051,0
4705,1994,2,510589,0
4711,1994,2,390583,0
4717,1994,2,332957,0
4718,1994,E,312503,0
4729,1994,2,948140,0
4735,1994,E,331990,0
4736,1994,E,180584,0
4739,1994,1,360098,0
4740,1994,1,621505,0
4742,1994,1,196624,0
4746,1994,2,197068,0
4750,1994,2,151719,0
4751,1994,2,563226,0
4778,1994,E,314462,0
4779,1994,E,242312,0
4843,1994,1,645773,0
520,1992,1,525244,0
10465,1991,1,249234,0
4731,1994,2,817450,0
4738,1994,1,590315,0
4747,1994,2,1564029,0
4791,1994,1,259631,0
4802,1994,1,510328,0
4803,1994,1,661629,0
4804,1994,1,165930,0
4805,1994,1,293094,0
4807,1994,1,188369,0
4808,1994,1,780042,0
4811,1994,1,205244,0
4812,1994,2,344790,0
4818,1994,2,319530,0
4819,1994,E,622446,0
4826,1994,1,236643,0
4827,1994,1,176771,0
4861,1994,1,156003,0
4862,1994,1,138553,0
4863,1994,1,224131,0
4880,1994,2,204042,0
4882,1994,2,229042,0
4926,1994,1,135549,0
4927,1994,1,270446,0
4944,1994,2,428278,0
4953,1994,1,601809,0
17970,1998,1,159399,0
28163,2010,2,37433,0
4859,1994,E,177032,0
4870,1994,2,389355,0
4918,1994,E,301845,0
4932,1994,2,287478,0
4934,1994,E,172408,0
4990,1994,1,313522,0
4992,1994,1,215510,0
5009,1994,E,184633,0
5011,1994,1,345313,0
5029,1994,E,314279,0
5032,1994,1,398237,0
5033,1994,1,712699,0
5036,1994,1,884715,0
5038,1994,2,209816,0
5088,1994,1,603977,0
5521,1993,1,240300,0
28061,2013,1,554040,0
28062,2013,1,358416,0
30804,2016,1,330553,0
5015,1994,1,923115,0
5047,1994,2,269166,0
5049,1994,E,206211,0
5087,1994,1,466547,0
5090,1994,1,348970,0
5095,1994,1,820454,0
5096,1994,2,701936,0
5098,1994,2,748878,0
5103,1994,E,342387,0
5104,1994,E,162847,0
5119,1994,2,201091,0
5161,1994,2,354795,0
5165,1994,1,276924,0
5168,1994,1,821211,0
5170,1994,1,220369,0
5172,1994,1,280738,0
5173,1994,2,413649,0
5174,1994,2,292780,0
5176,1994,2,131082,0
5178,1994,2,498260,0
5538,1993,E,271360,0
5177,1994,2,317884,0
5181,1994,2,125753,0
5185,1994,2,616464,0
5186,1994,E,211357,0
5201,1993,2,699977,0
5203,1993,2,296438,0
5212,1993,E,179122,0
5254,1993,1,217913,0
5258,1993,1,277264,0
5324,1993,1,542824,0
5394,1993,E,272431,0
6096,1993,1,288000,0
9900,1991,1,240431,0
5289,1993,2,241580,0
5294,1993,2,636604,0
5296,1993,E,197590,0
5338,1993,2,170658,0
5355,1993,1,563409,0
5381,1993,2,373081,0
5384,1993,2,451944,0
5386,1993,2,471249,0
5389,1993,2,221936,0
5392,1993,2,349780,0
5423,1993,1,232856,0
5440,1993,1,540291,0
5454,1993,2,351869,0
5498,1993,1,643056,0
5541,1993,1,366864,0
9834,1991,1,344033,0
5416,1993,2,510433,0
5499,1993,1,196284,0
5500,1993,1,214178,0
5515,1993,E,200960,0
5523,1993,1,265404,0
5543,1993,1,624039,0
5546,1993,1,375928,0
5561,1993,2,50913,0
5573,1993,1,359158,0
5574,1993,1,560327,0
5603,1993,2,693969,0
28065,2013,1,358776,0
30504,2015,1,279197,0
31713,2016,1,530834,0
5591,1993,1,414380,0
5592,1993,1,527047,0
5596,1993,1,297639,0
5600,1993,1,256131,0
5601,1993,2,373995,0
5606,1993,2,342073,0
5607,1993,2,189127,0
5613,1993,2,226142,0
5614,1993,E,356336,0
5637,1993,2,302759,0
5642,1993,1,371801,0
5667,1993,1,572056,0
5676,1993,2,413936,0
5684,1993,2,209580,0
28067,2013,1,643296,0
28068,2013,1,559536,0
30017,1994,2,72960,0
5718,1993,1,610142,0
5723,1993,1,225489,0
5725,1993,2,390870,0
5735,1993,2,152660,0
5739,1993,2,597473,0
5740,1993,E,361535,0
5752,1993,1,513332,0
5763,1993,2,316630,0
5862,1993,1,219794,0
5893,1993,1,582557,0
6171,1993,1,222067,0
6191,1993,2,173662,0
6198,1993,1,371696,0
6231,1993,2,688562,0
6237,1993,2,119380,0
6240,1993,2,302968,0
6279,1993,2,212323,0
6300,1993,1,739239,0
6312,1993,E,180793,0
6323,1993,1,667455,0
28069,2013,1,571152,0
30818,2016,2,214465,0
30819,2016,E,360072,0
5846,1993,1,261669,0
5860,1993,E,225071,0
5913,1993,1,289489,0
5934,1993,1,158433,0
5935,1993,1,579161,0
5947,1993,2,723069,0
5954,1993,2,490005,0
5955,1993,2,690233,0
28070,2013,1,264120,0
30810,2016,1,315951,0
31717,2016,1,146834,0
5957,1993,E,195291,0
5966,1993,1,236826,0
5967,1993,1,841482,0
5976,1993,2,350459,0
5986,1993,2,505339,0
5990,1993,E,279850,0
6095,1993,1,295497,0
6097,1993,1,231001,0
6100,1993,1,224862,0
6101,1993,1,571246,0
6106,1993,2,266031,0
6110,1993,2,184398,0
6124,1993,1,264516,0
6127,1993,1,288758,0
6128,1993,1,752509,0
6129,1993,1,299128,0
9048,1991,1,151014,0
28071,2013,1,609336,0
6092,1993,2,408895,0
6116,1993,2,702380,0
6162,1993,2,212584,0
6170,1993,1,476996,0
6172,1993,1,564402,0
6173,1993,1,373055,0
6174,1993,1,195944,0
6175,1993,1,274416,0
6176,1993,1,508029,0
6178,1993,1,268408,0
6182,1993,2,349388,0
6183,1993,2,460513,0
6184,1993,2,172696,0
6190,1993,2,555860,0
6192,1993,E,280607,0
6195,1993,1,256104,0
6197,1993,1,221022,0
6204,1993,2,222485,0
6220,1993,1,203886,0
6223,1993,1,549930,0
6226,1993,1,218358,0
6227,1993,1,561110,0
6230,1993,2,369920,0
6232,1993,2,770194,0
6234,1993,2,154227,0
6236,1993,2,1395200,0
28735,1994,2,604813,0
6136,1993,2,520699,0
6219,1993,E,321071,0
6254,1993,2,244062,0
6259,1993,2,504346,0
6269,1993,1,220003,0
6270,1993,1,553169,0
6274,1993,1,410305,0
6278,1993,2,552255,0
6280,1993,2,358844,0
6283,1993,2,499043,0
6286,1993,2,301505,0
6293,1993,1,375275,0
6296,1993,1,442723,0
6297,1993,1,234762,0
6298,1993,1,857678,0
6301,1993,2,243827,0
6302,1993,2,369189,0
6303,1993,2,705202,0
6305,1993,2,433136,0
6307,1993,2,139624,0
6308,1993,2,182491,0
6310,1993,2,279458,0
6314,1993,1,223896,0
6316,1993,1,152398,0
6321,1993,1,242364,0
6325,1993,2,645799,0
6334,1993,2,191765,0
6336,1993,E2,153548,0
6387,1993,1,228754,0
8592,1991,1,502021,0
31952,2017,1,590263,0
6413,1993,1,483030,0
6433,1993,2,247536,0
6440,1993,1,232673,0
6443,1993,1,551393,0
6467,1993,1,284682,0
6511,1993,1,503249,0
6512,1993,1,220552,0
6513,1993,1,833672,0
6515,1993,1,484310,0
6517,1993,1,605675,0
6518,1993,1,275069,0
6519,1993,2,518034,0
6520,1993,2,300931,0
6522,1993,2,298475,0
6525,1993,2,490318,0
6528,1993,2,623334,0
6529,1993,2,174498,0
6543,1993,1,310988,0
6558,1993,1,483318,0
6560,1993,1,220421,0
6564,1993,1,755801,0
6565,1993,1,374962,0
6567,1993,1,404454,0
6568,1993,2,318877,0
11529,1989,E,236774,0
28074,2013,2,216024,0
30829,2016,1,274625,0
6506,1993,2,445910,0
6535,1993,E,153887,0
6537,1993,1,228676,0
6544,1993,1,353646,0
6546,1993,2,301819,0
6551,1993,2,202475,0
6556,1993,E,390740,0
6562,1993,1,846864,0
6569,1993,2,568999,0
6572,1993,2,180402,0
6573,1993,2,146860,0
6574,1993,2,529789,0
6581,1993,2,361326,0
6582,1993,E,424803,0
6605,1993,1,213264,0
6606,1993,1,468820,0
6608,1993,1,530599,0
6611,1993,1,613982,0
6631,1993,1,145607,0
6635,1993,1,873822,0
6636,1993,1,274495,0
6641,1993,2,223086,0
30832,2016,1,495151,0
31955,2017,1,522318,0
6627,1993,E,141218,0
6629,1993,1,608209,0
6690,1993,1,370364,0
6691,1993,1,227474,0
6696,1993,1,604317,0
6704,1993,2,281417,0
6705,1993,2,353280,0
6711,1993,2,631249,0
6762,1993,1,227187,0
6782,1993,1,390531,0
28076,2013,2,246168,0
31956,2017,1,561998,0
6767,1993,1,662700,0
6779,1993,E,91873,0
6801,1993,2,421669,0
6838,1993,1,302420,0
6845,1993,2,240562,0
6847,1993,2,300878,0
6848,1993,2,567171,0
6851,1993,2,376633,0
6854,1993,2,163004,0
6858,1993,E,409156,0
6881,1993,1,244167,0
6882,1993,1,321776,0
6883,1993,E,530599,0
6892,1993,1,622890,0
6894,1993,1,260493,0
6909,1993,E,204382,0
6941,1993,1,216921,0
6942,1993,1,651990,0
7639,1993,1,231288,0
28077,2013,2,583152,0
6946,1993,2,597290,0
6964,1993,1,353567,0
6969,1993,2,252473,0
6973,1993,2,228963,0
6974,1993,2,153548,0
6983,1993,E,178312,0
7020,1993,1,280633,0
7054,1993,2,203468,0
7124,1993,1,471615,0
7125,1993,1,470831,0
7126,1993,1,319216,0
7127,1993,1,507559,0
7128,1993,1,175047,0
7268,1993,2,353933,0
7081,1993,2,262818,0
7082,1993,2,224444,0
7130,1993,1,135889,0
7132,1993,1,149368,0
7134,1993,2,228807,0
7135,1993,2,228362,0
7136,1993,2,153731,0
7139,1993,2,382746,0
7140,1993,2,380578,0
7141,1993,2,719804,0
7142,1993,2,361822,0
7144,1993,E,180767,0
7149,1993,1,351922,0
7150,1993,1,216503,0
7156,1993,2,705959,0
7295,1993,2,343458,0
6412,1993,1,253780,0
7235,1993,1,383922,0
7263,1993,1,920947,0
7265,1993,1,212193,0
7270,1993,2,393613,0
7276,1993,E,226873,0
7277,1993,1,361587,0
7283,1993,1,225672,0
7286,1993,1,181734,0
7287,1993,1,268904,0
7291,1993,2,216059,0
7297,1993,2,200882,0
7300,1993,2,273424,0
7301,1993,E,296255,0
7311,1993,1,365662,0
7312,1993,2,362057,0
7313,1993,2,1175040,0
7324,1993,1,244010,0
7328,1993,1,225567,0
7346,1993,1,272196,0
7349,1993,1,338834,0
7350,1993,1,638824,0
7351,1993,1,904333,0
7353,1993,1,213499,0
7356,1993,2,110367,0
7358,1993,2,355736,0
7359,1993,2,367882,0
7642,1993,2,622498,0
28080,2013,2,347592,0
31962,2017,2,612232,0
3714,1994,2,449515,0
7318,1993,2,363076,0
7325,1993,1,770795,0
7336,1993,2,339174,0
7337,1993,2,518531,0
7339,1993,2,139494,0
7342,1993,2,308193,0
7344,1993,E,160104,0
7363,1993,2,422165,0
7365,1993,E,264464,0
7369,1993,1,564088,0
7384,1993,2,360542,0
7388,1993,1,369920,0
7401,1993,2,140748,0
7427,1993,2,696085,0
7461,1993,1,620774,0
7470,1993,2,223269,0
7476,1993,2,520464,0
7480,1993,1,174054,0
14706,1990,1,270994,0
14709,1990,1,142263,0
14713,1990,1,319347,0
14714,1990,1,639608,0
14715,1990,2,338913,0
14718,1990,2,236069,0
14720,1990,2,588696,0
28082,2013,2,537792,0
29430,2014,2,361718,0
7496,1993,2,236069,0
28084,2013,E,216912,0
30023,2015,1,410436,0
7633,1993,1,507977,0
7635,1993,1,534100,0
7637,1993,1,842162,0
7638,1993,1,381780,0
7643,1993,2,224000,0
7648,1993,2,232464,0
7649,1993,2,133616,0
7661,1993,1,259135,0
7675,1993,2,74606,0
7678,1993,E,372323,0
30038,2015,2,370704,0
31654,2000,1,727920,0
7932,1988,2,166478,0
8218,1988,1,360464,0
8276,1988,1,336353,0
8594,1991,1,300042,0
9039,1991,1,627618,0
11785,1989,1,278256,0
3104,2012,1,434808,0
8361,1988,3,240170,0
8413,1997,2,566544,0
8788,1991,1,288575,0
13041,1995,2,436088,0
8474,1991,1,218253,0
8556,1991,1,225176,0
8560,1991,2,183484,0
13044,1995,2,217365,0
8572,1991,2,192653,0
8574,1991,E,293512,0
8601,1991,2,296516,0
8682,1991,E,314044,0
8793,1991,2,227971,0
30055,2015,2,654472,0
30863,2016,1,201048,0
8842,1991,2,243744,0
8909,1991,2,362580,0
8990,1991,1,944091,0
8995,1991,2,283246,0
9040,1991,1,556278,0
30864,2016,1,500184,0
9029,1991,2,311510,0
9033,1991,1,331207,0
9034,1991,1,180010,0
9035,1991,1,118256,0
9037,1991,1,283246,0
9042,1991,2,136438,0
9043,1991,2,614531,0
9044,1991,2,263889,0
9047,1991,E,258743,0
9487,1991,2,521587,0
14541,1990,1,243879,0
30347,2015,1,390661,0
3931,1994,2,205401,0
9059,1991,2,378749,0
9070,1991,1,929646,0
9075,1991,1,334838,0
9080,1991,2,362553,0
9085,1991,2,407536,0
9087,1991,2,246021,0
9089,1991,E,295863,0
30867,2016,1,379320,0
9227,1991,E,202553,0
9273,1991,1,382198,0
